dataset,subject,module,pynguin,mutap,pynguin_run_sd,Mutap_run_sd,difference,abs_difference,winner,pynguin_sd,Mutap_sd,Pynguin_cv,Mutap_cv
Open-Source,sub1,colorama.ansi,64.75,70.83,16.41,0,-6.08,6.08,MuTAP,28.28,23.46,0.88,0.6
Open-Source,sub2,colorama.ansitowin32,16.12,16.22,3.79,0,-0.1,0.1,Comparable,28.28,23.46,0.88,0.6
Open-Source,sub3,slugify.slugify,76.47,55.88,2.26,0,20.59,20.59,Pynguin,28.28,23.46,0.88,0.6
Open-Source,sub4,dateutil.easter,22.56,68.5,0,0.24,-45.94,45.94,MuTAP,28.28,23.46,0.88,0.6
Open-Source,sub5,dateutil.isoparser,3.93,25.92,0,0,-21.99,21.99,MuTAP,28.28,23.46,0.88,0.6
Open-Source,sub6,dateutil.relativedelta,51.13,35.61,0,0.02,15.52,15.52,Pynguin,28.28,23.46,0.88,0.6
Open-Source,sub7,dateutil.utils,65,80,0,0,-15,15,MuTAP,28.28,23.46,0.88,0.6
Open-Source,sub8,click.formatting,35.34,35.59,0,0,-0.25,0.25,Comparable,28.28,23.46,0.88,0.6
Open-Source,sub9,click.parser,26.95,35.49,0,0.62,-8.54,8.54,MuTAP,28.28,23.46,0.88,0.6
Open-Source,sub10,click.types,15.09,8.8,3.24,0,6.29,6.29,Pynguin,28.28,23.46,0.88,0.6
Open-Source,sub11,rich.ansi,25.17,9.94,0,0.04,15.23,15.23,Pynguin,28.28,23.46,0.88,0.6
Open-Source,sub12,rich.color,100,87.04,0,0,12.96,12.96,Pynguin,28.28,23.46,0.88,0.6
Open-Source,sub14,marshmallow.validate,21.89,34.11,0,2.59,-12.22,12.22,MuTAP,28.28,23.46,0.88,0.6
Industrial,sub1,geo,75.63,60.9,2.46,0,14.73,14.73,Pynguin,28.28,23.46,0.88,0.6
Industrial,sub2,graph_utils,30.18,44.4,14.11,0,-14.22,14.22,MuTAP,28.28,23.46,0.88,0.6
Industrial,sub3,excel,0,14.5,0,0,-14.5,14.5,MuTAP,28.28,23.46,0.88,0.6
Industrial,sub4,files,10.86,17.6,5.74,0,-6.74,6.74,MuTAP,28.28,23.46,0.88,0.6
Industrial,sub5,Conflict_detector,0.31,37.4,0.98,0,-37.09,37.09,MuTAP,28.28,23.46,0.88,0.6
Industrial,sub6,rewrite_graph,20.68,33.2,10.95,0,-12.52,12.52,MuTAP,28.28,23.46,0.88,0.6
Industrial,sub7,scheduler,14.66,46.19,9.98,3.4,-31.53,31.53,MuTAP,28.28,23.46,0.88,0.6
Industrial,sub8,operations,11.5,40,0,0,-28.5,28.5,MuTAP,28.28,23.46,0.88,0.6
Industrial,sub9,morphology,22.87,8.3,1.44,0,14.57,14.57,Pynguin,28.28,23.46,0.88,0.6
Industrial,sub10,solr_expressions,75.12,75.6,26.76,0,-0.48,0.48,Comparable,28.28,23.46,0.88,0.6
Industrial,sub11,field_signature,15.83,26.4,1.22,0,-10.57,10.57,MuTAP,28.28,23.46,0.88,0.6
Industrial,sub12,safe_functions,0,17.65,10.53,0,-17.65,17.65,MuTAP,28.28,23.46,0.88,0.6
