Subject,Module,Pynguin_Mean,Pynguin_Median,Pynguin_Std,Pynguin_Min,Pynguin_Max,MuTAP_Mean,MuTAP_Median,MuTAP_Std,MuTAP_Min,MuTAP_Max,Delta Mean (pp)
sub1,colorama.ansi,64.75,64.58335,16.41,36.36,90.28,70.83,70.83,0,70.83,70.83,6.08
sub2,colorama.ansitowin32,16.12,17.4797,3.79,10.16,20.33,16.22,16.2162,0,16.22,16.22,0.09
sub3,slugify.slugify,76.47,75.9799,2.26,73.53,80.39,55.88,55.88,0,55.88,55.88,-20.59
sub4,dateutil.easter,22.56,22.56,0,22.56,22.56,68.5,68.42,0.24,68.42,69.17,45.94
sub5,dateutil.isoparser,3.93,3.93,0,3.93,3.93,25.92,25.92,0,25.92,25.92,21.99
sub6,dateutil.relativedelta,51.13,51.13,0,51.13,51.13,35.61,35.6,0.02,35.6,35.66,-15.52
sub7,dateutil.utils,65,65,0,65,65,80,80,0,80,80,15
sub8,click.formatting,35.34,35.34,0,35.34,35.34,35.59,35.59,0,35.59,35.59,0.25
sub9,click.parser,26.95,26.24,2.24,26.24,33.33,35.49,35.29,0.62,35.29,37.25,8.54
sub10,click.types,15.09,14.735,3.24,10.05,20.08,8.8,9.78,3.09,0,9.78,-6.29
sub11,rich.ansi,25.17,25.17,0,25.17,25.17,9.94,9.93,0.04,9.93,10.07,-15.23
sub12,rich.color,100,100,0,100,100,87.04,87.04,0,87.04,87.04,-12.96
sub13,rich.markup,N/A,N/A,N/A,N/A,N/A,22.56,22.56,0,22.56,22.56,N/A
sub14,marshmallow.validate,21.89,21.89,0,21.89,21.89,34.11,34.93,2.59,26.74,34.93,12.22
