Subject,Pynguin Mean,Pynguin Median,Pynguin Std,Pynguin Min,Pynguin_Max,MuTAP_Mean,MuTAP_Median,MuTAP_Std,MuTAP_Min,MuTAP_Max,Delta Mean
sub1,75.63,74.8,2.46,72.2,79.7,60.9,60.9,0,60.9,60.9,-14.73
sub2,30.18,30.4,14.11,14.8,47.1,44.4,44.4,0,44.4,44.4,14.22
sub3,0,0,0,0,0,14.5,14.5,0,14.5,14.5,14.5
sub4,10.86,13.6,5.74,0,14,17.6,17.6,0,17.6,17.6,6.74
sub5,0.31,0,0.98,0,3.1,37.4,37.4,0,37.4,37.4,37.09
sub6,20.68,25.3,10.95,0,27.3,33.2,33.2,0,33.2,33.2,12.52
sub7,14.66,9.65,9.98,7.1,34.7,46.19,46.85,3.4,42.6,51.3,31.53
sub8,11.5,10,4.12,5,17.5,40,40,0,40,40,28.5
sub9,22.87,23.2,1.44,20.1,24.7,8.3,8.3,0,8.3,8.3,-14.57
sub10,75.12,83.75,26.76,0,89.5,75.6,75.6,0,75.6,75.6,0.48
sub11,15.83,16,1.22,12.6,17.4,26.4,26.4,0,26.4,26.4,10.57
sub12,0,0,0,0,0,17.65,17.65,0,17.65,17.65,17.65
