Subject,Module,Tool,Line Cov Mean (%),Line Cov Min (%),Line Cov Max (%),Branch Cov Mean (%),Branch Cov Min (%),Branch Cov Max (%),MS Mean (%),MS Min (%),MS Max (%)
sub1,col.ansi,Mutap,100,100,100,100,100,100,70.83,70.83,70.83
sub1,col.ansi,Pynguin,100,100,100,100,100,100,64.75,36.36,90.28
sub2,col.win32,Mutap,41.87,41.87,41.87,18.97,18.97,18.97,16.22,16.22,16.22
sub2,col.win32,Pynguin,67.24,64.04,70.44,52.76,48.28,58.62,16.12,10.16,20.33
sub3,slugify,Mutap,74.32,74.32,74.32,68.52,68.52,68.52,55.88,55.88,55.88
sub3,slugify,Pynguin,90.95,89.86,93.24,91.85,88.89,96.3,76.47,73.53,80.39
sub4,du.easter,Mutap,96.47,91.18,97.06,86.25,75,87.5,68.5,68.42,69.17
sub4,du.easter,Pynguin,98.24,82.35,100,96.25,62.5,100,22.56,22.56,22.56
sub5,du.iso,Mutap,50.73,50.73,50.73,36.67,36.67,36.67,25.92,25.92,25.92
sub5,du.iso,Pynguin,12.77,12.77,12.77,1.11,1.11,1.11,3.93,3.93,3.93
sub6,du.reldt,Mutap,56.16,56.16,56.16,41.3,41.3,41.3,35.61,35.6,35.66
sub6,du.reldt,Pynguin,63.99,62.16,65.17,60.65,57.61,61.96,51.13,51.13,51.13
sub7,du.utils,Mutap,100,100,100,100,100,100,80,80,80
sub7,du.utils,Pynguin,86.67,86.67,86.67,50,50,50,65,65,65
sub8,ck.fmt,Mutap,35.45,35.45,35.45,26,26,26,35.59,35.59,35.59
sub8,ck.fmt,Pynguin,76.61,73.54,89.95,71.6,66,90,35.34,35.34,35.34
sub9,ck.parser,Mutap,25.69,25.69,25.69,17.27,17.27,17.27,35.49,35.29,37.25
sub9,ck.parser,Pynguin,47.27,24.03,65.19,34.09,8.18,53.64,26.24,26.24,26.24
sub10,ck.types,Mutap,29.87,25.59,30.67,7.79,0.85,9.32,8.8,0,9.78
sub10,ck.types,Pynguin,72.59,64.25,80.94,52.63,41.53,65.25,15.09,10.05,20.08
sub11,rich.ansi,Mutap,35.59,35.59,35.59,15.91,15.91,15.91,9.94,9.93,10.07
sub11,rich.ansi,Pynguin,35.68,33.9,36.44,16.36,13.64,18.18,25.17,25.17,25.17
sub12,rich.color,Mutap,37.8,37.8,37.8,10.71,10.71,10.71,87.04,87.04,87.04
sub12,rich.color,Pynguin,27.6,26.83,28.05,0,0,0,35.19,35.19,35.19
sub13,rich.mkup,Mutap,42.86,42.86,42.86,23.81,23.81,23.81,22.56,22.56,22.56
