subject,tool,mean_test_count,mean_line_coverage,mean_branch_coverage,n_runs
sub1,pynguin,15,90.93,100,10
sub1,mutap,23,90.7,100,10
sub2,pynguin,10.2,65.15,46,10
sub2,mutap,9,45.59,35,10
sub3,pynguin,7.5,24.34,0,10
sub3,mutap,4,34.35,29.41,10
sub4,pynguin,17.8,48.49,25.33,10
sub4,mutap,6,41.27,23.33,10
sub5,pynguin,7.2,20,10.65,10
sub5,mutap,0,63.52,56.52,10
sub6,pynguin,11.7,68.18,63.16,10
sub6,mutap,0,46.97,31.58,10
sub7,pynguin,6.4,43.11,28.09,10
sub7,mutap,8,82.43,73.81,10
sub8,pynguin,17.4,84.67,57.5,10
sub8,mutap,10,75.18,56.25,10
sub9,pynguin,44,73.18,70.09,10
sub9,mutap,20,37.07,31.19,10
sub10,pynguin,14.5,100,100,10
sub10,mutap,21,89.55,75,10
sub11,pynguin,23.1,34.88,20.44,10
sub11,mutap,23,57.75,42.65,10
sub12,pynguin,76.5,95.56,83.75,10
sub12,mutap,52,72.2,20.83,10
