Subject,Module,Tool,Mean Gen Time (s),Mean Mutation Score (%)
sub1,col.ansi,MuTAP,19.3,70.8
sub1,col.ansi,Pynguin,3.5,64.8
sub2,colorama.ansitowin32,MuTAP,660,16.2
sub2,colorama.ansitowin32,Pynguin,316,16.1
sub3,slugify,MuTAP,20,55.9
sub3,slugify,Pynguin,194.7,76.5
sub4,dateutil.easter,MuTAP,348.7,68.5
sub4,dateutil.easter,Pynguin,59.3,22.6
sub5,dateutil.isoparser,MuTAP,637.8,25.9
sub5,dateutil.isoparser,Pynguin,229.9,3.9
sub6,dateutil.relativedelta,MuTAP,211.3,35.6
sub6,dateutil.relativedelta,Pynguin,273.1,51.1
sub7,dateutil.utils,MuTAP,2.8,80
sub7,dateutil.utils,Pynguin,183,65
sub8,click.formatting,MuTAP,161.6,35.6
sub8,click.formatting,Pynguin,400.2,35.3
sub9,click.parser,MuTAP,2844.1,35.5
sub9,click.parser,Pynguin,98.2,26.2
sub10,click.types,MuTAP,2109.2,8.8
sub10,click.types,Pynguin,723.2,15.1
sub11,rich.ansi,MuTAP,286.1,9.9
sub11,rich.ansi,Pynguin,258.1,25.2
sub12,rich.color,MuTAP,2170.9,87
sub12,rich.color,Pynguin,201.3,35.2
sub13,rich.markup,MuTAP,37.3,22.6
sub14,marshmallow.validate,MuTAP,1736.4,34.1
sub14,marshmallow.validate,Pynguin,336.7,21.9
